iter	Passed	Remaining
0	190	190530
1	231	115477
2	268	89073
3	309	77051
4	348	69368
5	384	63775
6	426	60537
7	468	58078
8	507	55868
9	542	53740
10	577	51952
11	612	50456
12	647	49172
13	683	48118
14	719	47277
15	755	46461
16	791	45778
17	829	45258
18	866	44747
19	901	44151
20	938	43729
21	976	43397
22	1014	43111
23	1051	42750
24	1087	42412
25	1123	42091
26	1157	41730
27	1194	41475
28	1231	41239
29	1266	40960
30	1303	40733
31	1342	40606
32	1384	40583
33	1422	40419
34	1463	40360
35	1499	40143
36	1535	39951
37	1572	39808
38	1610	39689
39	1647	39549
40	1683	39375
41	1720	39237
42	1758	39137
43	1796	39023
44	1833	38914
45	1870	38791
46	1910	38747
47	1945	38590
48	1981	38450
49	2017	38327
50	2052	38198
51	2094	38178
52	2130	38060
53	2166	37952
54	2203	37867
55	2242	37806
56	2279	37709
57	2315	37600
58	2351	37498
59	2387	37398
60	2424	37326
61	2464	37282
62	2503	37229
63	2540	37148
64	2578	37083
65	2613	36986
66	2650	36910
67	2685	36801
68	2724	36760
69	2761	36692
70	2798	36620
71	2836	36561
72	2873	36489
73	2911	36434
74	2952	36411
75	2991	36368
76	3027	36289
77	3099	36637
78	3219	37534
79	3322	38213
80	3431	38927
81	3542	39654
82	3655	40385
83	3761	41022
84	3866	41619
85	3973	42225
86	4079	42806
87	4189	43416
88	4293	43949
89	4400	44495
90	4510	45055
91	4622	45618
92	4738	46213
93	4849	46744
94	5032	47939
95	5148	48485
96	5258	48957
97	5370	49428
98	5492	49988
99	5607	50463
100	5717	50891
101	5823	51270
102	5926	51608
103	6031	51963
104	6138	52323
105	6243	52657
106	6346	52967
107	6452	53291
108	6520	53302
109	6560	53076
110	6597	52843
111	6635	52607
112	6673	52380
113	6713	52178
114	6751	51957
115	6790	51747
116	6828	51535
117	6865	51314
118	6902	51098
119	6937	50877
120	6976	50682
121	7016	50493
122	7052	50284
123	7093	50109
124	7130	49913
125	7166	49710
126	7201	49505
127	7237	49305
128	7276	49129
129	7314	48949
130	7350	48760
131	7386	48573
132	7423	48391
133	7460	48214
134	7496	48032
135	7535	47871
136	7572	47700
137	7608	47528
138	7645	47355
139	7681	47188
140	7718	47023
141	7753	46847
142	7788	46675
143	7823	46506
144	7859	46342
145	7895	46184
146	7932	46031
147	7970	45885
148	8006	45727
149	8043	45577
150	8079	45428
151	8115	45273
152	8152	45132
153	8190	44993
154	8230	44867
155	8268	44734
156	8305	44597
157	8340	44448
158	8374	44297
159	8413	44169
160	8449	44031
161	8486	43898
162	8521	43758
163	8559	43633
164	8598	43515
165	8637	43393
166	8677	43282
167	8713	43152
168	8749	43024
169	8788	42906
170	8827	42796
171	8863	42669
172	8902	42557
173	8940	42442
174	8978	42328
175	9015	42209
176	9053	42094
177	9091	41982
178	9129	41871
179	9165	41754
180	9202	41638
181	9239	41528
182	9276	41415
183	9313	41302
184	9351	41195
185	9388	41085
186	9422	40967
187	9457	40850
188	9493	40736
189	9532	40637
190	9569	40533
191	9605	40423
192	9642	40317
193	9679	40212
194	9715	40109
195	9754	40012
196	9791	39910
197	9828	39811
198	9867	39719
199	9903	39615
200	9939	39510
201	9976	39410
202	10011	39304
203	10046	39201
204	10081	39096
205	10116	38994
206	10151	38890
207	10188	38795
208	10224	38697
209	10260	38598
210	10297	38507
211	10333	38410
212	10371	38319
213	10407	38227
214	10445	38137
215	10482	38045
216	10520	37959
217	10557	37871
218	10599	37799
219	10636	37710
220	10671	37616
221	10706	37522
222	10746	37443
223	10784	37361
224	10820	37272
225	10858	37186
226	10895	37102
227	10932	37017
228	10968	36928
229	11006	36847
230	11042	36761
231	11078	36673
232	11114	36587
233	11152	36508
234	11188	36422
235	11224	36338
236	11260	36251
237	11295	36165
238	11332	36084
239	11369	36002
240	11407	35926
241	11447	35857
242	11484	35776
243	11520	35694
244	11556	35613
245	11593	35534
246	11629	35454
247	11671	35390
248	11708	35312
249	11745	35235
250	11784	35165
251	11820	35087
252	11860	35018
253	11898	34946
254	11936	34872
255	11974	34801
256	12013	34730
257	12050	34658
258	12087	34583
259	12124	34509
260	12162	34435
261	12201	34368
262	12236	34291
263	12274	34220
264	12312	34150
265	12352	34084
266	12391	34018
267	12429	33949
268	12464	33873
269	12503	33806
270	12539	33731
271	12578	33665
272	12613	33591
273	12651	33520
274	12689	33452
275	12725	33382
276	12761	33308
277	12798	33239
278	12840	33184
279	12880	33121
280	12915	33046
281	12952	32979
282	12987	32904
283	13024	32836
284	13060	32766
285	13097	32697
286	13132	32626
287	13167	32554
288	13203	32482
289	13240	32416
290	13273	32339
291	13309	32270
292	13343	32198
293	13378	32125
294	13413	32055
295	13448	31986
296	13484	31916
297	13523	31856
298	13560	31791
299	13595	31723
300	13631	31655
301	13667	31588
302	13702	31520
303	13739	31456
304	13777	31395
305	13814	31331
306	13850	31265
307	13885	31197
308	13920	31130
309	13954	31059
310	13992	30998
311	14027	30932
312	14062	30864
313	14101	30806
314	14135	30739
315	14172	30676
316	14208	30612
317	14243	30548
318	14277	30480
319	14313	30415
320	14347	30349
321	14384	30287
322	14422	30228
323	14461	30171
324	14497	30110
325	14532	30046
326	14568	29984
327	14606	29924
328	14641	29861
329	14678	29802
330	14713	29737
331	14749	29675
332	14784	29613
333	14819	29550
